Date/Time,Word Count,en,fr
2023.02.15-09.14.37,82,82,0
2023.02.15-10.15.47,82,82,66
2023.02.15-10.48.59,82,82,67
2023.02.15-10.56.12,82,82,82
2023.02.15-11.19.37,82,82,80
2023.02.15-16.14.47,154,154,80
2023.02.16-21.23.12,114,114,15
2023.02.16-21.26.29,114,114,26
2023.02.18-16.43.45,301,301,22
2023.02.18-16.56.48,301,301,235
2023.02.28-10.01.16,1009,1009,225
2023.02.28-10.03.51,1039,1039,226
2023.02.28-21.35.13,1152,1152,226
2023.02.28-21.52.35,1152,1152,440
2023.02.28-21.54.34,1152,1152,460
2023.03.01-09.55.24,1152,1152,917
2023.03.01-15.48.32,1206,1206,910
2023.03.01-16.05.49,1206,1206,982
2023.03.02-14.17.33,1273,1273,950
2023.03.02-14.25.40,1273,1273,1024
